"dateofsleep","total_duration","total_duration_not_awake","total_deep","total_light","total_rem","total_wake","total_awake","total_restless","total_asleep","seven_day_avg_duration","thirty_day_avg_duration"
"2022-03-22",7.316666666666666,6.533333333333333,0.45,5.483333333333333,0.6,0.7833333333333333,0,0,0,7.8761904761904775,7.921505376344084
"2022-03-23",8.05,7.166666666666667,1.0666666666666667,4.35,1.75,0.8833333333333333,0,0,0,7.895238095238095,7.969354838709676
"2022-03-24",8.333333333333334,7.533333333333333,1.5666666666666667,4.466666666666667,1.5,0.8,0,0,0,8.066666666666666,8.014516129032257
"2022-03-25",7.8,7.133333333333334,1.1333333333333333,4.783333333333333,1.2166666666666666,0.6666666666666666,0,0,0,8.192857142857143,8.218279569892472
"2022-03-26",8.7,7.466666666666667,1.3166666666666667,5.316666666666666,0.8333333333333334,1.2333333333333334,0,0,0,8.054761904761904,8.276881720430106
"2022-03-27",9.133333333333333,7.666666666666667,0.9666666666666667,5.633333333333334,1.0666666666666667,1.4666666666666666,0,0,0,8.133333333333333,8.323118279569892
"2022-03-28",6.833333333333333,5.916666666666667,0.9333333333333333,4.25,0.7333333333333333,0.9166666666666666,0,0,0,8.023809523809524,8.279569892473116
"2022-03-29",8,6.866666666666666,0.6166666666666667,5.6,0.65,1.1333333333333333,0,0,0,8.121428571428572,8.256451612903225
"2022-03-30",8.3,6.833333333333333,0.5833333333333334,5.416666666666667,0.8333333333333334,1.4666666666666666,0,0,0,8.157142857142858,8.268817204301074
"2022-03-31",7.066666666666666,5.7,0.9833333333333333,4.15,0.5666666666666667,1.3666666666666667,0,0,0,7.976190476190475,8.031720430107526
"2022-04-01",7.333333333333333,6.2,0.9833333333333333,4.7,0.5166666666666667,1.1333333333333333,0,0,0,7.90952380952381,8.006989247311829
"2022-04-02",8.5,6.983333333333333,0.6666666666666666,5.483333333333333,0.8333333333333334,1.5166666666666666,0,0,0,7.8809523809523805,8.045698924731184
"2022-04-03",8.733333333333333,7.6,1.2333333333333334,4.5,0.65,1.1333333333333333,0.016666666666666666,0.06666666666666667,1.1333333333333333,7.8238095238095235,8.075806451612904
"2022-04-04",7.933333333333334,6.516666666666667,0.9,4.583333333333333,1.0333333333333334,1.4166666666666667,0,0,0,7.980952380952382,8.10698924731183
"2022-04-05",9.85,8.433333333333334,0.6833333333333333,5.783333333333333,1.9666666666666666,1.4166666666666667,0,0,0,8.245238095238095,8.158064516129034
"2022-04-06",7.5,6.383333333333334,0.4166666666666667,4.8,1.1666666666666667,1.1166666666666667,0,0,0,8.130952380952381,8.14731182795699
"2022-04-07",8.083333333333334,6.916666666666667,1,4.75,1.1666666666666667,1.1666666666666667,0,0,0,8.276190476190477,8.185483870967742
"2022-04-08",7.266666666666667,6.533333333333333,1.0333333333333334,4.35,1.15,0.7333333333333333,0,0,0,8.266666666666667,8.122043010752689
"2022-04-09",10.9,9.55,1.9833333333333334,5.616666666666666,1.95,1.35,0,0,0,8.60952380952381,8.22258064516129
"2022-04-10",10.066666666666666,8.183333333333334,1.9166666666666667,5.783333333333333,0.48333333333333334,1.8833333333333333,0,0,0,8.799999999999999,8.31989247311828
"2022-04-11",6.666666666666667,6.05,0.8833333333333333,3.15,2.0166666666666666,0.6166666666666667,0,0,0,8.619047619047619,8.25752688172043
"2022-04-12",7.4,6.683333333333334,1.0666666666666667,3.9166666666666665,1.7,0.7166666666666667,0,0,0,8.269047619047617,8.238172043010753
"2022-04-13",7.383333333333334,6.733333333333333,0.9166666666666666,3.3833333333333333,1.1,0.65,0,0,1.3333333333333333,8.252380952380951,8.15268817204301
"2022-04-14",6.233333333333333,5.2,0.3333333333333333,3.8333333333333335,1.0333333333333334,1.0333333333333334,0,0,0,7.988095238095238,8.009677419354839
"2022-04-15",6.85,5.866666666666666,1.3,3.3,1.2666666666666666,0.9833333333333333,0,0,0,7.92857142857143,8.001612903225807
"2022-04-16",7.383333333333334,6.333333333333333,1.1333333333333333,4.15,1.05,1.05,0,0,0,7.4261904761904765,7.984408602150536
